date,company,values
4/5/2014,Uber,0.019981499
4/12/2014,Uber,0.019774011
4/19/2014,Uber,0.020159355
4/26/2014,Uber,0.023844877
5/3/2014,Uber,0.023318827
5/10/2014,Uber,0.023169025
5/17/2014,Uber,0.022156134
5/24/2014,Uber,0.023030828
5/31/2014,Uber,0.026822076
6/7/2014,Uber,0.028427296
6/14/2014,Uber,0.030215924
6/21/2014,Uber,0.030708813
6/28/2014,Uber,0.032664107
7/5/2014,Uber,0.032603377
7/12/2014,Uber,0.029964991
7/19/2014,Uber,0.029585799
7/26/2014,Uber,0.030788673
8/2/2014,Uber,0.032388664
8/9/2014,Uber,0.032210502
8/16/2014,Uber,0.034790011
8/23/2014,Uber,0.039312998
8/30/2014,Uber,0.041823204
9/6/2014,Uber,0.043229081
9/13/2014,Uber,0.044483021
9/20/2014,Uber,0.04708047
9/27/2014,Uber,0.047288946
10/4/2014,Uber,0.048695841
10/11/2014,Uber,0.051500756
10/18/2014,Uber,0.050553942
10/25/2014,Uber,0.050258926
11/1/2014,Uber,0.054647488
11/8/2014,Uber,0.06228204
11/15/2014,Uber,0.065611105
11/22/2014,Uber,0.071967436
11/29/2014,Uber,0.086291376
12/6/2014,Uber,0.093215725
12/13/2014,Uber,0.09319395
12/20/2014,Uber,0.093222746
12/27/2014,Uber,0.080973985
1/3/2015,Uber,0.072481922
1/10/2015,Uber,0.059766295
1/17/2015,Uber,0.05827957
1/24/2015,Uber,0.060960558
1/31/2015,Uber,0.073329741
2/7/2015,Uber,0.089088658
2/14/2015,Uber,0.095700193
2/21/2015,Uber,0.094951017
2/28/2015,Uber,0.092299465
3/7/2015,Uber,0.100264851
3/14/2015,Uber,0.077428312
3/21/2015,Uber,0.04692881
3/28/2015,Uber,0.038803156
4/4/2015,Uber,0.04783124
4/11/2015,Uber,0.055698954
4/18/2015,Uber,0.064118096
4/25/2015,Uber,0.07243407
5/2/2015,Uber,0.079655448
5/9/2015,Uber,0.085477326
5/16/2015,Uber,0.087991765
5/23/2015,Uber,0.090344489
5/30/2015,Uber,0.095276436
6/6/2015,Uber,0.098846344
6/13/2015,Uber,0.102064737
6/20/2015,Uber,0.104962351
6/27/2015,Uber,0.103827882
7/4/2015,Uber,0.103292181
7/11/2015,Uber,0.102701465
7/18/2015,Uber,0.103328297
7/25/2015,Uber,0.108016336
8/1/2015,Uber,0.108942562
8/8/2015,Uber,0.110156031
8/15/2015,Uber,0.111335255
8/22/2015,Uber,0.108901044
8/29/2015,Uber,0.111048012
9/5/2015,Uber,0.106222269
9/12/2015,Uber,0.105874792
9/19/2015,Uber,0.105937136
9/26/2015,Uber,0.105571187
4/5/2014,TaxiForSure,0.00333025
4/12/2014,TaxiForSure,0.002824859
4/19/2014,TaxiForSure,0.002591917
4/26/2014,TaxiForSure,0.002532972
5/3/2014,TaxiForSure,0.002873799
5/10/2014,TaxiForSure,0.002876691
5/17/2014,TaxiForSure,0.00260223
5/24/2014,TaxiForSure,0.002454696
5/31/2014,TaxiForSure,0.003089454
6/7/2014,TaxiForSure,0.003817574
6/14/2014,TaxiForSure,0.004679457
6/21/2014,TaxiForSure,0.004764051
6/28/2014,TaxiForSure,0.00484612
7/5/2014,TaxiForSure,0.004526548
7/12/2014,TaxiForSure,0.004509583
7/19/2014,TaxiForSure,0.004628273
7/26/2014,TaxiForSure,0.005342064
8/2/2014,TaxiForSure,0.006272453
8/9/2014,TaxiForSure,0.00663491
8/16/2014,TaxiForSure,0.007661748
8/23/2014,TaxiForSure,0.007918363
8/30/2014,TaxiForSure,0.00801105
9/6/2014,TaxiForSure,0.007968997
9/13/2014,TaxiForSure,0.007594662
9/20/2014,TaxiForSure,0.007792629
9/27/2014,TaxiForSure,0.008168091
10/4/2014,TaxiForSure,0.008405184
10/11/2014,TaxiForSure,0.008961347
10/18/2014,TaxiForSure,0.009142734
10/25/2014,TaxiForSure,0.009430362
11/1/2014,TaxiForSure,0.010460935
11/8/2014,TaxiForSure,0.011442895
11/15/2014,TaxiForSure,0.012417308
11/22/2014,TaxiForSure,0.013622795
11/29/2014,TaxiForSure,0.014481707
12/6/2014,TaxiForSure,0.014319939
12/13/2014,TaxiForSure,0.014790925
12/20/2014,TaxiForSure,0.015338295
12/27/2014,TaxiForSure,0.015620513
1/3/2015,TaxiForSure,0.01639811
1/10/2015,TaxiForSure,0.015490995
1/17/2015,TaxiForSure,0.016935484
1/24/2015,TaxiForSure,0.018030588
1/31/2015,TaxiForSure,0.018642241
2/7/2015,TaxiForSure,0.020401572
2/14/2015,TaxiForSure,0.020802059
2/21/2015,TaxiForSure,0.019108623
2/28/2015,TaxiForSure,0.017433155
3/7/2015,TaxiForSure,0.017080158
3/14/2015,TaxiForSure,0.017354622
3/21/2015,TaxiForSure,0.021485479
3/28/2015,TaxiForSure,0.028928695
4/4/2015,TaxiForSure,0.033372837
4/11/2015,TaxiForSure,0.036589232
4/18/2015,TaxiForSure,0.039798986
4/25/2015,TaxiForSure,0.039513542
5/2/2015,TaxiForSure,0.040804547
5/9/2015,TaxiForSure,0.042582601
5/16/2015,TaxiForSure,0.043145504
5/23/2015,TaxiForSure,0.04316161
5/30/2015,TaxiForSure,0.043880837
6/6/2015,TaxiForSure,0.04403645
6/13/2015,TaxiForSure,0.045352087
6/20/2015,TaxiForSure,0.047083371
6/27/2015,TaxiForSure,0.045770144
7/4/2015,TaxiForSure,0.044215821
7/11/2015,TaxiForSure,0.042124542
7/18/2015,TaxiForSure,0.038547819
7/25/2015,TaxiForSure,0.037902079
8/1/2015,TaxiForSure,0.039033888
8/8/2015,TaxiForSure,0.03872746
8/15/2015,TaxiForSure,0.037704131
8/22/2015,TaxiForSure,0.039035306
8/29/2015,TaxiForSure,0.037429014
9/5/2015,TaxiForSure,0.038611874
9/12/2015,TaxiForSure,0.039147432
9/19/2015,TaxiForSure,0.039359166
9/26/2015,TaxiForSure,0.03849184
4/5/2014,Ola Cabs,0.008325624
4/12/2014,Ola Cabs,0.010169492
4/19/2014,Ola Cabs,0.010175674
4/26/2014,Ola Cabs,0.011180016
5/3/2014,Ola Cabs,0.011166762
5/10/2014,Ola Cabs,0.011429016
5/17/2014,Ola Cabs,0.011895911
5/24/2014,Ola Cabs,0.012056891
5/31/2014,Ola Cabs,0.013130178
6/7/2014,Ola Cabs,0.01261163
6/14/2014,Ola Cabs,0.012433986
6/21/2014,Ola Cabs,0.011459473
6/28/2014,Ola Cabs,0.011391529
7/5/2014,Ola Cabs,0.012478591
7/12/2014,Ola Cabs,0.012579363
7/19/2014,Ola Cabs,0.012888863
7/26/2014,Ola Cabs,0.014130622
8/2/2014,Ola Cabs,0.015338998
8/9/2014,Ola Cabs,0.017239424
8/16/2014,Ola Cabs,0.01708286
8/23/2014,Ola Cabs,0.019963196
8/30/2014,Ola Cabs,0.022154696
9/6/2014,Ola Cabs,0.024889471
9/13/2014,Ola Cabs,0.024085928
9/20/2014,Ola Cabs,0.026462471
9/27/2014,Ola Cabs,0.02831963
10/4/2014,Ola Cabs,0.032102381
10/11/2014,Ola Cabs,0.036439214
10/18/2014,Ola Cabs,0.039206196
10/25/2014,Ola Cabs,0.040665031
11/1/2014,Ola Cabs,0.042715484
11/8/2014,Ola Cabs,0.047460767
11/15/2014,Ola Cabs,0.049940354
11/22/2014,Ola Cabs,0.049063772
11/29/2014,Ola Cabs,0.055476916
12/6/2014,Ola Cabs,0.060165523
12/13/2014,Ola Cabs,0.064835409
12/20/2014,Ola Cabs,0.069760836
12/27/2014,Ola Cabs,0.073278585
1/3/2015,Ola Cabs,0.077891021
1/10/2015,Ola Cabs,0.079813465
1/17/2015,Ola Cabs,0.085860215
1/24/2015,Ola Cabs,0.099651194
1/31/2015,Ola Cabs,0.112068966
2/7/2015,Ola Cabs,0.126177531
2/14/2015,Ola Cabs,0.134945314
2/21/2015,Ola Cabs,0.140704059
2/28/2015,Ola Cabs,0.14631016
3/7/2015,Ola Cabs,0.156910437
3/14/2015,Ola Cabs,0.143162279
3/21/2015,Ola Cabs,0.131380108
3/28/2015,Ola Cabs,0.132039895
4/4/2015,Ola Cabs,0.141360512
4/11/2015,Ola Cabs,0.148666395
4/18/2015,Ola Cabs,0.152779647
4/25/2015,Ola Cabs,0.157786885
5/2/2015,Ola Cabs,0.16033212
5/9/2015,Ola Cabs,0.163106969
5/16/2015,Ola Cabs,0.165599964
5/23/2015,Ola Cabs,0.165363478
5/30/2015,Ola Cabs,0.165458937
6/6/2015,Ola Cabs,0.168200386
6/13/2015,Ola Cabs,0.170002705
6/20/2015,Ola Cabs,0.173954459
6/27/2015,Ola Cabs,0.172574456
7/4/2015,Ola Cabs,0.171833562
7/11/2015,Ola Cabs,0.165384615
7/18/2015,Ola Cabs,0.165178776
7/25/2015,Ola Cabs,0.168448584
8/1/2015,Ola Cabs,0.169162301
8/8/2015,Ola Cabs,0.169345043
8/15/2015,Ola Cabs,0.168972142
8/22/2015,Ola Cabs,0.172849329
8/29/2015,Ola Cabs,0.178575116
9/5/2015,Ola Cabs,0.179590112
9/12/2015,Ola Cabs,0.178385905
9/19/2015,Ola Cabs,0.176284716
9/26/2015,Ola Cabs,0.175745639
4/5/2014,Meru,0.012765957
4/12/2014,Meru,0.013785311
4/19/2014,Meru,0.013727561
4/26/2014,Meru,0.015197834
5/3/2014,Meru,0.014779539
5/10/2014,Meru,0.015860675
5/17/2014,Meru,0.014052045
5/24/2014,Meru,0.014655982
5/31/2014,Meru,0.014674905
6/7/2014,Meru,0.015542982
6/14/2014,Meru,0.015910154
6/21/2014,Meru,0.015644113
6/28/2014,Meru,0.017055825
7/5/2014,Meru,0.019696599
7/12/2014,Meru,0.021123836
7/19/2014,Meru,0.020270666
7/26/2014,Meru,0.019759894
8/2/2014,Meru,0.017163711
8/9/2014,Meru,0.015084496
8/16/2014,Meru,0.015664018
8/23/2014,Meru,0.01555791
8/30/2014,Meru,0.018563536
9/6/2014,Meru,0.019813329
9/13/2014,Meru,0.020342845
9/20/2014,Meru,0.0213215
9/27/2014,Meru,0.019291741
10/4/2014,Meru,0.020335123
10/11/2014,Meru,0.021917512
10/18/2014,Meru,0.023448424
10/25/2014,Meru,0.027855001
11/1/2014,Meru,0.029257927
11/8/2014,Meru,0.030296425
11/15/2014,Meru,0.031775296
11/22/2014,Meru,0.030881954
11/29/2014,Meru,0.033318815
12/6/2014,Meru,0.034792551
12/13/2014,Meru,0.037588968
12/20/2014,Meru,0.040504459
12/27/2014,Meru,0.038189858
1/3/2015,Meru,0.0392302
1/10/2015,Meru,0.039183105
1/17/2015,Meru,0.040537634
1/24/2015,Meru,0.040729809
1/31/2015,Meru,0.041271552
2/7/2015,Meru,0.042202724
2/14/2015,Meru,0.040960755
2/21/2015,Meru,0.042308106
2/28/2015,Meru,0.041122995
3/7/2015,Meru,0.044592184
3/14/2015,Meru,0.037218989
3/21/2015,Meru,0.030789
3/28/2015,Meru,0.028085149
4/4/2015,Meru,0.030007111
4/11/2015,Meru,0.031426889
4/18/2015,Meru,0.03333782
4/25/2015,Meru,0.035014255
5/2/2015,Meru,0.036764053
5/9/2015,Meru,0.035938824
5/16/2015,Meru,0.036790046
5/23/2015,Meru,0.035655243
5/30/2015,Meru,0.03412954
6/6/2015,Meru,0.034654576
6/13/2015,Meru,0.03299973
6/20/2015,Meru,0.031887871
6/27/2015,Meru,0.030604787
7/4/2015,Meru,0.028806584
7/11/2015,Meru,0.028342491
7/18/2015,Meru,0.027651879
7/25/2015,Meru,0.029871977
8/1/2015,Meru,0.030040332
8/8/2015,Meru,0.027936093
8/15/2015,Meru,0.027617675
8/22/2015,Meru,0.026802586
8/29/2015,Meru,0.027310274
9/5/2015,Meru,0.02635749
9/12/2015,Meru,0.02597333
9/19/2015,Meru,0.025001386
9/26/2015,Meru,0.024366911
